unitprice,name,age,WGS84lat,WGS84lon,lift
71675.57143,冠城大通百旺府,2009,32.63908857,117.1050215,TRUE
73267.33333,中国房子,2004,37.54395686,104.1046338,TRUE
49231.875,水郡长安,2008,38.07013436,114.5804038,TRUE
70052.5,望兴居,2000,39.65532338,116.0769173,FALSE
73108,小营干休所,2000,39.69458207,116.1502362,TRUE
110735,真武庙,1980,39.78695664,115.8916851,FALSE
77111,梅园,1995,39.79867492,116.4854497,FALSE
86354.5,丙28号院,1997,39.81182215,116.3380306,FALSE
42991,燕归宁馨园,2005,39.82508363,116.4682942,FALSE
44653,鸿博家园六区,2008,39.82641635,116.469582,FALSE
42995,恋日绿岛,2005,39.82684787,116.4708809,TRUE
61151,博雅国际,2005,39.83331797,116.3585486,TRUE
64661.5,中海城圣朝菲,2010,39.83741078,116.4462646,TRUE
83600,蓟门南里,1983,39.83749053,116.5180018,FALSE
67655.4,中海城香克林,2012,39.83812526,116.4422933,TRUE
74287.25,中海城南区,2006,39.84074779,116.4418842,TRUE
46965.5,君堂好园,2005,39.84274717,116.4987723,FALSE
55177.2,富力又一城C区,2009,39.84477081,116.5543284,TRUE
51041.27273,富力又一城B区,2008,39.84512722,116.5549507,TRUE
46413,吕营嘉园,2005,39.84515959,116.4627328,FALSE
48813.75,富力又一城A区,2005,39.84604706,116.5588459,TRUE
48547.5,扬州水乡,2004,39.84720117,116.5646295,FALSE
46515.5,朝丰家园,2009,39.85019923,116.5586504,TRUE
50572.85714,翠成馨园,2009,39.85427984,116.5036012,TRUE
65974.4,定安里,1984,39.85921095,116.4046635,FALSE
62862.5,沙子口路61号,1987,39.85928918,116.3993978,FALSE
56314,富莱茵花园,1995,39.85938225,116.4015409,TRUE
62899,沙子口路50号,1998,39.86020004,116.3993073,TRUE
69172.36364,景泰西里西区,2005,39.86118369,116.4011929,TRUE
57197.5,管村26号院,1997,39.86129632,116.3891284,FALSE
64457,景泰西里,1982,39.86134958,116.4063287,FALSE
68883,华龙美晟,2009,39.86168618,116.399118,TRUE
49994,垡头西里三区,1996,39.86169091,116.5036824,FALSE
54836,金蝉南里,2007,39.86172536,116.4966888,TRUE
62723.33333,永合馨苑,2001,39.8618855,116.3908943,TRUE
86400,悠胜美苑,2003,39.86194643,116.3878184,TRUE
65600.5,安乐林头条2号院,1989,39.86208979,116.4006134,FALSE
70245,新奥洋房,2005,39.86209606,116.4037684,TRUE
48178,垡头西里,1980,39.86213804,116.5059484,FALSE
70532.33333,景泰东里,1994,39.86222042,116.4095683,FALSE
61915.5,建予园,2001,39.86232115,116.3894155,TRUE
65288,景泰嘉园,2002,39.86266748,116.4055479,TRUE
51554,建工家园,2008,39.8627294,116.4763643,TRUE
51764.45455,万科青青家园,2000,39.86274831,116.5743436,FALSE
68748.75,革新南路2号院,1989,39.86314569,116.3928004,TRUE
63731,天天家园,2002,39.86327606,116.3991951,TRUE
61971.58333,望陶园小区,1999,39.86330798,116.3877822,TRUE
60852,周庄嘉园东里,2005,39.8635515,116.4669496,FALSE
52207,京城雅居,2006,39.86396881,116.5535633,TRUE
62154,东革新里40号院,1983,39.86412907,116.3915845,FALSE
74145,北京华侨城1号院,2012,39.86441101,116.4971703,TRUE
74390.33333,北京华侨城2号院,2006,39.86445885,116.4973467,TRUE
67405.8,西革新里110号院,1992,39.86460138,116.3833286,FALSE
61593.6,西革新里112号院,2001,39.86489434,116.3827865,TRUE
58689.5,西革新里108号院,1996,39.86494852,116.3852927,FALSE
63033.5,格林莱雅,2009,39.86554084,116.5003796,TRUE
49927.33333,垡头西里二区,1984,39.86556771,116.502404,FALSE
76062,革新里小区,1990,39.86560068,116.3908764,FALSE
60236.5,革新里24号院,1994,39.8659335,116.3906162,FALSE
53450,弘燕路小区,1997,39.86594566,116.4701103,FALSE
69306,李村,1995,39.86596206,116.4066969,FALSE
91483.66667,山水文园一期,2002,39.86630807,116.4649176,TRUE
86164,山水文园三期,2006,39.86630807,116.4649176,TRUE
95260,山水文园二期,2005,39.86630807,116.4649176,TRUE
79163,城市亮点,2003,39.86668392,116.3959247,TRUE
49954,金蝉北里,1997,39.86673077,116.5027359,TRUE
48521.5,垡头北里,1987,39.86681275,116.5061331,FALSE
50696,御景园,2003,39.8671137,116.4568723,TRUE
47563,琉璃井东街,1980,39.8671978,116.4041641,FALSE
66775.2,永铁苑,2000,39.86719825,116.3857164,TRUE
66056,桃杨路教师楼,1999,39.86743094,116.4021359,FALSE
56006.84615,南新园,1997,39.86795201,116.4675513,TRUE
71246,郭庄北里,1995,39.86807007,116.405077,FALSE
56462.8,双龙南里,1993,39.86812457,116.4715797,TRUE
71702.5,桃杨路北里,1987,39.8682343,116.4004536,FALSE
102870,右安门西街,1981,39.86825685,116.3498906,FALSE
53680,方华苑,2000,39.86839714,116.4607122,TRUE
57021,华辉苑,2000,39.86864732,116.4523502,TRUE
63331.91667,中加大厦,1999,39.86873667,116.3460292,TRUE
105107,中海紫御公馆,2010,39.86879037,116.3842736,TRUE
