Name,Address,District,Assignmode,Primaryormiddle,Quality,WGS84lat,WGS84lon,Correspondmiddle,Correspondmiddle_quality,Correspondmiddle_promoterate
东北师范大学附属中学朝阳学校,北京市朝阳区金盏乡楼梓庄路临6号,Chaoyang,None,middle,5,39.97606615,116.5672344,None,None,0
中国人民大学附属中学,北京市海淀区中关村大街37号,Haidian,None,middle,1,39.97329577,116.3116055,None,None,0
中国人民大学附属中学分校,北京市海淀区双榆树南里二区3号,Haidian,None,middle,3,39.96499513,116.3230859,None,None,0
中国人民大学附属中学实验小学,北京市海淀区知春里小区甲22号,Haidian,Random,primary,1,39.9722556,116.3175774,None,None,0
中国人民大学附属中学朝阳学校,北京市朝阳区太阳宫南街8号,Chaoyang,None,middle,5,39.97528732,116.4348621,None,None,0
中国人民大学附属中学朝阳学校,北京市朝阳区太阳宫南街8号,Chaoyang,Nineyears,primary,5,39.97528732,116.4348621,中国人民大学附属中学朝阳学校,5,1
中国人民大学附属中学朝阳实验学校,北京市朝阳区太阳宫北街新区D区,Chaoyang,Random,primary,5,39.97295798,116.4452577,None,None,0
中国人民大学附属中学第二分校,北京市海淀区蓝靛厂路25号,Haidian,None,middle,5,39.96535239,116.2716214,None,None,0
中国人民大学附属中学翠微学校,北京市海淀区翠微路1号,Haidian,None,middle,5,39.91211533,116.2958023,None,None,0
中国人民大学附属小学,北京市海淀区蓝靛厂路18号,Haidian,Random,primary,1,39.96486714,116.2718404,None,None,0
中国人民大学附属小学银燕分校,北京市海淀区厢红旗48号,Haidian,Random,primary,5,39.96593553,116.2816522,None,None,0
中国传媒大学附属中学,北京市朝阳区大黄庄西里一号,Chaoyang,None,middle,5,39.91336015,116.5422316,None,None,0
中国传媒大学附属小学,北京市朝阳区定福庄南里2号,Chaoyang,Random,primary,5,39.91231743,116.5523175,None,None,0
中国农业大学附属实验小学,北京市海淀区学清路32号,Haidian,Random,primary,4,40.00233246,116.3468279,None,None,0
中国农业科学院附属小学,北京市海淀区中关村南大街12号,Haidian,Random,primary,3,39.95708248,116.326564,None,None,0
中国地质大学附属中学,北京市海淀区成府路20号,Haidian,None,middle,5,39.99056762,116.3357269,None,None,0
中国教育科学研究院朝阳实验学校(中学校部),北京市朝阳区安贞西里一区13号楼,Chaoyang,None,middle,5,39.97232464,116.3929086,None,None,0
中国教育科学研究院朝阳实验学校(中学校部),北京市朝阳区安贞西里一区13号楼,Chaoyang,Nineyears,primary,5,39.97232464,116.3929086,中国教育科学研究院朝阳实验学校(中学校部),5,1
中国矿业大学（北京）附属中学,北京市海淀区学院路丁11号,Haidian,None,middle,5,39.9955725,116.3406775,None,None,0
中国科学院附属实验学校,北京市朝阳区华严里68号院楼1-5号楼,Chaoyang,None,middle,5,39.97632873,116.3815215,None,None,0
中国科学院附属实验学校,北京市朝阳区华严里68号院楼1-5号楼,Chaoyang,Nineyears,primary,5,39.97632873,116.3815215,中国科学院附属实验学校,5,1
中国音乐学院附属北京实验学校,北京市朝阳区安慧里四区12号,Chaoyang,Random,primary,4,39.98998694,116.4054227,None,None,0
中央工艺美术学院附属中学,北京市东城区东直门外小街甲27号,Dongcheng,None,middle,5,39.94349198,116.4381104,None,None,0
中央工艺美院附中艺美小学,北京市东城区东直门外胡家园20号,Dongcheng,Random,primary,4,39.94306598,116.4380196,None,None,0
中央民族大学附属中学,北京市海淀区法华寺甲5号,Haidian,None,middle,5,39.94903671,116.3107689,None,None,0
人大附中西山学校,北京市海淀区马连洼南路9号,Haidian,None,middle,5,40.03086046,116.2768042,None,None,0
北京世青国际学校,北京市朝阳区花家地北里18号,Chaoyang,None,middle,5,39.98401994,116.4617287,None,None,0
北京世青国际学校,北京市朝阳区花家地北里18号,Chaoyang,Nineyears,primary,5,39.98401994,116.4617287,北京世青国际学校,5,1
北京中医学院附属中学,北京市朝阳区和平街十五区1号院,Chaoyang,None,middle,5,39.96494746,116.4250829,None,None,0
北京中学,北京市朝阳区西坝河东里1号,Chaoyang,None,middle,5,39.96390184,116.4425218,None,None,0
北京中学东坝南校区（新增）,北京市朝阳区东坝中街临7号,Chaoyang,None,middle,5,39.96467212,116.5503672,None,None,0
北京中学东坝南校区（新增）,北京市朝阳区东坝中街临7号,Chaoyang,Nineyears,primary,5,39.96467212,116.5503672,北京中学东坝南校区（新增）,5,1
北京乐成国际学校,北京市朝阳区百子湾南二路77号,Chaoyang,None,middle,5,39.89595445,116.4686109,None,None,0
北京乐成国际学校,北京市朝阳区百子湾南二路77号,Chaoyang,Nineyears,primary,5,39.89595445,116.4686109,北京乐成国际学校,5,1
北京光明小学,北京市东城区光明路甲12号,Dongcheng,Random,primary,1,39.88266862,116.4312114,None,None,0
北京八十学校,北京市朝阳区望京北路甲16号国际教育大楼,Chaoyang,None,middle,5,40.00989525,116.4695409,None,None,0
北京八十学校,北京市朝阳区望京北路甲16号国际教育大楼,Chaoyang,Nineyears,primary,5,40.00989525,116.4695409,北京八十学校,5,1
北京农业大学附属中学,北京市海淀区圆明园西路三号,Haidian,None,middle,5,40.02186971,116.272974,None,None,0
北京农业大学附属小学,北京市海淀区圆明园西路3号院内,Haidian,Random,primary,5,40.02115475,116.2745451,None,None,0
北京化工大学附属中学,北京市朝阳区惠新里38号楼,Chaoyang,None,middle,5,39.9787199,116.414578,None,None,0
北京化工大学附属中学,北京市朝阳区惠新里38号楼,Chaoyang,Nineyears,primary,5,39.9787199,116.414578,北京化工大学附属中学,5,1
北京医学院附属中学,北京市海淀区花园北路40号,Haidian,None,middle,4,39.980143,116.356833,None,None,0
北京医科大学附属小学,北京市海淀区花园路甲3号,Haidian,Direct,primary,3,39.9767712,116.3583158,北京医学院附属中学,4,0.5
北京国际艺术与科学学校,北京市朝阳区朝阳公园西路麦子店正街53号,Chaoyang,None,middle,5,39.94156697,116.4664079,None,None,0
北京国际艺术与科学学校,北京市朝阳区朝阳公园西路麦子店正街53号,Chaoyang,Nineyears,primary,5,39.94156697,116.4664079,北京国际艺术与科学学校,5,1
北京外国语大学附属中学,北京市海淀区万寿寺北里14号,Haidian,None,middle,5,39.95093683,116.3061059,None,None,0
北京外国语大学附属小学,北京市海淀区魏公村小区23号楼,Haidian,Random,primary,5,39.95218378,116.3112777,None,None,0
北京大学附属中学,北京市海淀区大泥湾路甲82号,Haidian,None,middle,2,39.97588204,116.3140849,None,None,0
北京大学附属小学,北京市海淀区北京大学燕东园,Haidian,Random,primary,2,39.99558664,116.3119487,None,None,0
北京实验学校（海淀）,北京市海淀区阜成路甲3号,Haidian,None,middle,5,39.92450873,116.3209569,None,None,0
北京实验学校（海淀）,北京市海淀区阜成路甲3号,Haidian,Nineyears,primary,4,39.92450873,116.3209569,北京实验学校（海淀）,5,1
北京小学,北京市西城区槐柏树街9号,Xicheng,Random,primary,1,39.89513015,116.354358,None,None,0
北京小学天宁寺分校,北京市西城区天宁寺前街35号,Xicheng,Random,primary,5,39.89200527,116.3395719,None,None,0
北京小学红山分校,北京市西城区广安门外大街305号院二区,Xicheng,Random,primary,5,39.89063747,116.3283827,None,None,0
北京小学走读部,北京市西城区北线阁街2号,Xicheng,Random,primary,4,39.89068661,116.3471373,None,None,0
